"age","study_hours","self_study_hours","social_media_hours","gaming_hours","sleep_hours","screen_time_hours","mental_health_score","focus_index","burnout_level","productivity_score","exam_score"
"18","7.64","1.56","3.05","2.19","6.52","6.47","10","43.05","31.77","73.65","50.16"
"18","2.21","2.22","1.65","2.55","5.97","6.05","3","15.92","37","13.7","1"
"22","3.45","0","1.34","2.08","8.39","7.62","8","27.39","34.37","45.15","18.3"
"17","5.75","2.08","2.27","2.2","6.31","11.67","3","22.31","77.31","20.92","9.37"
"19","6.83","1.72","2.65","0.7","8.01","10.02","8","38.11","39.53","59.23","27.81"
"25","2.21","3.5","4.47","1.56","8.34","8.06","8","30.52","33.64","36.2","18.53"
"22","4.6","2.37","3.12","1.89","7.61","11.34","6","33.26","62.01","37.59","10.35"
"17","8.77","3.78","1.76","3.13","7.62","7.27","1","31.98","45.98","45.04","19.89"
"16","6.6","0.84","4.39","0.85","8.29","8.24","10","30.23","49.44","61.83","30.73"
"17","3.98","0.16","3.2","2.13","5.43","7.79","9","20.26","60.78","29.06","8.99"
"25","2.28","2.69","3.27","0.6","6.4","4.94","8","19.21","48.25","24.48","11.65"
"16","5.99","2.6","0.89","2.72","7.08","7.68","2","25.04","36.14","31.13","15.01"
"16","4.88","1.65","3.68","1.39","4.96","8.8","10","32.97","51.79","48.33","22.09"
"25","5.33","2.07","3.84","1.63","6.17","10.88","7","31.13","50.49","39.3","22.12"
"19","5.31","1.21","1.97","0.22","7.19","6.94","6","31.07","28","50.61","29.83"
"20","3.85","3.09","2.13","2.75","5.09","7.39","4","21.66","41.97","26.95","14.69"
"16","4.91","1.57","3.34","0.68","8","5.63","4","32.28","58.06","28.09","13.12"
"16","3.44","3.74","4.32","0.49","6.75","6.21","8","27.96","60.78","37.66","14.18"
"20","5.08","1.57","3.75","1.74","6.23","8.47","2","13.74","54.29","24.66","6.54"
"17","0.56","2.33","0.62","0.31","5.48","7.07","5","34.27","48.32","11.13","1"
"23","9.31","4.04","1.46","1.23","7.74","2.9","10","60.72","31.88","91.52","64.09"
"19","4.5","2.2","1.24","0","4.42","10.82","2","19.46","62.09","20.88","1"
"18","4.79","1.45","1.96","1.78","7.41","7.04","10","42.45","28.98","62.96","33.52"
"20","3.59","2.32","5.1","1.05","6.21","4.39","4","32.36","42.51","21.4","11.21"
"23","7.44","2.36","2.77","1.39","6.84","2.92","6","39.78","43.72","61","33.03"
"18","5.77","2.02","3.9","1.54","6.98","8.58","4","21.89","33.8","42.44","16.33"
"20","4.64","2.85","2.19","2.27","5.9","3.66","8","32.09","30.49","55.72","30.57"
"24","7.3","2.05","5.01","0.16","7.51","10.48","1","25.67","29","42.33","18.07"
"16","3.59","4.07","2.57","2.47","7.7","5.91","5","23.79","33.22","34.11","14.7"
"23","3.54","2.39","5.24","1.22","5.91","4.89","6","16.61","40.95","29.44","10.73"
"25","3.95","2.45","3.97","0.72","5.9","6.69","9","31.41","52.4","52.7","23.19"
"19","5.52","2.41","3.91","0.26","8.16","11.43","6","22.79","69","37.09","10.49"
"20","4.68","2.18","2.85","0.54","6.49","6.03","1","25.48","44.61","19.89","11.53"
"22","0","1.22","7.11","2.18","8.33","8.44","6","7.26","20.37","3.39","1"
